"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 12 16:33:01 GMT 2021","Mon Jul 12 16:33:06 GMT 2021","4847","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Jul 12 16:33:10 GMT 2021","Mon Jul 12 16:33:13 GMT 2021","3481","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
